Id,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,Miles,NumStops,Price,HazMat,Pickup
22145135,29.28,-97.22,33.17,-96.55,311.0,3,950.0,0,2021-02-04 14:15:00
22146387,33.66,-96.63,33.06,-96.45,36.0,2,350.0,0,2021-02-03 13:00:00
22146393,33.19,-96.17,32.61,-99.28,179.0,2,700.0,0,2021-02-16 13:00:00
22146642,33.19,-95.16,33.83,-96.28,49.0,2,450.0,0,2021-02-02 14:15:00
22147624,34.0,-97.0,34.0,-97.0,19.0,2,343.0,0,2021-02-03 16:00:00
22147687,41.49,-87.81,42.86,-87.22,41.0,2,475.0,0,2021-02-22 15:15:00
22149821,40.37,-85.32,43.32,-92.47,523.0,2,1339.0,0,2021-02-01 17:00:00
22149853,40.51,-85.84,40.24,-88.19,195.0,2,824.0,0,2021-02-02 17:00:00
22151824,30.09,-94.66,33.14,-96.34,269.0,2,350.0,0,2021-02-03 07:00:00
22152140,40.92,-83.35,42.86,-87.3,314.0,2,900.0,0,2021-02-02 07:45:00
22152575,33.01,-96.73,33.16,-96.33,1016.0,3,2203.0,0,2021-02-04 08:00:00
22153505,42.97,-93.81,29.72,-97.74,1006.0,2,2250.0,0,2021-02-02 08:00:00
22153642,42.69,-93.01,29.93,-97.54,1003.0,2,1900.0,0,2021-02-02 08:00:00
22154638,39.71,-89.05,42.35,-83.51,446.0,2,1500.0,0,2021-02-03 09:45:00
22155067,33.23,-96.35,41.02,-84.62,1024.0,2,2316.0,0,2021-02-01 09:00:00
22155797,40.38,-82.96,41.62,-90.4,513.0,2,900.0,0,2021-02-01 11:30:00
22155878,40.32,-82.57,41.56,-90.59,504.0,2,863.0,0,2021-02-02 11:30:00
22155904,39.59,-85.51,41.37,-83.12,230.0,2,1213.0,0,2021-01-31 10:45:00
22156056,40.84,-82.47,41.5,-90.8,510.0,2,1000.0,0,2021-02-03 11:45:00
22156320,33.86,-96.79,30.69,-94.37,239.0,2,625.0,0,2021-02-02 10:00:00
22156321,33.39,-96.14,30.61,-94.15,241.0,2,525.0,0,2021-02-05 10:00:00
22156465,33.96,-96.31,30.97,-94.28,238.0,2,600.0,0,2021-02-06 10:00:00
22156466,33.79,-96.13,30.66,-94.79,239.0,2,536.0,0,2021-02-04 10:00:00
22156467,33.82,-96.36,30.93,-94.32,240.0,2,500.0,0,2021-02-06 10:00:00
22156468,33.82,-96.44,30.2,-94.08,237.0,2,625.0,0,2021-02-04 10:00:00
22156469,33.17,-96.64,30.01,-94.8,239.0,2,700.0,0,2021-02-04 10:00:00
22156470,33.98,-96.04,30.62,-94.91,240.0,2,500.0,0,2021-02-06 10:00:00
22156605,39.4,-87.27,40.32,-81.45,351.0,2,1868.0,0,2021-02-06 11:00:00
22157136,40.7,-82.58,41.65,-90.73,507.0,2,906.0,0,2021-02-04 12:30:00
22157171,40.43,-82.47,41.18,-90.49,510.0,2,1100.0,0,2021-02-05 12:30:00
22157398,40.8,-82.35,41.43,-90.54,511.0,2,900.0,0,2021-02-08 12:45:00
22158383,33.24,-96.5,33.85,-96.51,28.0,2,125.0,0,2021-02-01 12:00:00
22158717,40.51,-82.59,41.53,-90.77,505.0,2,892.0,0,2021-02-09 13:15:00
22158746,41.38,-87.21,40.89,-85.64,195.0,2,1065.0,0,2021-02-02 12:15:00
22158784,40.65,-82.26,41.88,-90.23,506.0,2,900.0,0,2021-02-10 13:15:00
22159417,42.68,-87.49,38.22,-88.53,295.0,2,755.0,0,2021-02-04 12:30:00
22159444,40.13,-82.73,41.57,-90.31,508.0,2,853.0,0,2021-02-11 13:30:00
22159718,40.16,-82.05,41.52,-90.29,511.0,2,900.0,0,2021-02-12 13:30:00
22160042,40.13,-86.95,40.33,-83.3,170.0,2,901.0,0,2021-02-01 11:45:00
22160944,33.72,-96.07,32.81,-96.58,23.0,2,400.0,0,2021-02-06 12:00:00
22162534,33.0,-96.0,33.0,-96.0,18.0,2,540.0,0,2021-02-06 13:00:00
22162862,33.89,-96.36,42.68,-93.57,786.0,3,2000.0,0,2021-02-02 14:15:00
22162867,33.7,-96.51,42.83,-93.48,791.0,3,1900.0,0,2021-02-06 14:15:00
22163578,40.77,-85.68,42.79,-87.18,189.0,2,700.0,0,2021-02-04 14:45:00
22163598,30.16,-93.45,32.68,-94.16,205.0,2,725.0,0,2021-02-03 14:00:00
22163693,30.76,-94.79,32.18,-94.31,223.0,2,500.0,0,2021-02-01 14:00:00
22163953,40.96,-82.52,41.43,-90.26,512.0,2,900.0,0,2021-02-15 16:00:00
22164232,30.95,-97.37,29.7,-97.95,35.0,2,475.0,0,2021-02-02 15:30:00
22164398,30.49,-97.83,29.31,-97.63,34.0,2,345.0,0,2021-02-03 15:30:00
22164399,30.06,-97.67,26.75,-97.06,265.0,2,450.0,0,2021-02-03 15:30:00
22165243,33.6,-96.55,30.33,-95.85,235.0,2,1163.0,0,2021-02-01 16:15:00
22165395,30.88,-94.72,41.45,-81.42,1322.0,2,2400.0,0,2021-02-01 17:30:00
22165409,40.47,-86.1,39.4,-83.1,161.0,2,1000.0,0,2021-02-01 16:30:00
22165412,40.76,-86.78,39.33,-83.29,156.0,2,900.0,0,2021-02-01 16:30:00
22165744,41.96,-87.96,33.46,-96.51,944.0,2,2850.0,0,2021-02-01 16:45:00
22166185,30.0,-95.0,30.0,-95.0,1.0,2,246.0,0,2021-02-01 17:45:00
